movement_id,person_id,timestamp,location_id,source,confidence,accuracy_meters
MV00375,P036,2026-03-11 11:25:59,L003,Cell Tower Approximation,0.56,223
MV00376,P036,2025-12-03 08:35:51,L018,Cell Tower Approximation,0.37,602
MV00377,P036,2026-01-01 22:55:00,L018,Cell Tower Approximation,0.61,574
MV00378,P036,2026-03-17 15:50:06,L003,Cell Tower Approximation,0.6,444
MV00379,P036,2026-04-04 19:45:40,L003,Cell Tower Approximation,0.44,184
MV00380,P036,2025-10-10 13:55:13,L003,Cell Tower Approximation,0.7,724
MV00381,P037,2026-03-22 10:20:59,L024,Cell Tower Approximation,0.6,770
MV00382,P037,2026-02-18 20:05:53,L024,GPS,0.85,3
MV00383,P037,2025-11-05 11:55:42,L021,Cell Tower Approximation,0.46,233
MV00384,P037,2025-09-13 20:25:31,L024,Cell Tower Approximation,0.43,574
MV00385,P037,2025-11-16 07:10:08,L021,Cell Tower Approximation,0.66,381
MV00386,P037,2026-03-26 21:35:09,L021,GPS,0.92,5
MV00387,P037,2025-12-22 23:15:57,L021,GPS,0.76,12
MV00388,P038,2026-01-09 20:15:40,L001,GPS,0.78,7
MV00389,P038,2026-03-17 11:50:18,L001,Cell Tower Approximation,0.56,287
MV00390,P038,2026-02-12 07:10:02,L003,GPS,0.67,3
MV00391,P038,2026-01-02 20:45:46,L001,GPS,0.64,10
MV00392,P038,2026-01-27 20:40:02,L001,Cell Tower Approximation,0.35,674
MV00393,P038,2026-03-15 11:25:10,L001,GPS,0.89,6
MV00394,P038,2026-04-07 20:35:19,L003,Cell Tower Approximation,0.41,224
MV00395,P038,2026-04-24 22:10:25,L003,Cell Tower Approximation,0.67,289
MV00396,P038,2026-02-24 15:30:48,L001,Cell Tower Approximation,0.46,261
MV00397,P038,2026-03-17 14:00:45,L003,GPS,0.77,11
MV00398,P038,2026-01-13 10:05:03,L003,Cell Tower Approximation,0.51,687
MV00399,P038,2025-11-03 22:00:21,L001,Cell Tower Approximation,0.37,594
MV00400,P038,2025-11-27 09:25:41,L003,GPS,0.78,13
MV00401,P038,2026-03-05 11:35:28,L001,GPS,0.7,10
MV00402,P038,2025-10-08 23:20:24,L003,Cell Tower Approximation,0.64,696
MV00403,P038,2025-11-18 11:20:28,L001,GPS,0.74,8
MV00404,P039,2026-04-01 15:10:17,L010,GPS,0.77,11
MV00405,P039,2025-10-01 21:05:49,L018,GPS,0.94,15
MV00406,P039,2026-04-24 17:15:38,L018,Cell Tower Approximation,0.47,713
MV00407,P039,2026-01-08 21:45:54,L010,Cell Tower Approximation,0.63,632
MV00408,P039,2026-04-16 14:40:26,L018,GPS,0.93,12
MV00409,P039,2026-03-14 19:25:49,L018,GPS,0.92,8
MV00410,P039,2025-09-30 13:00:55,L018,GPS,0.92,4
MV00411,P039,2026-03-19 14:20:20,L018,Cell Tower Approximation,0.38,466
MV00412,P039,2025-09-23 23:35:31,L018,GPS,0.69,5
MV00413,P039,2026-04-23 08:15:21,L018,Cell Tower Approximation,0.64,585
MV00414,P039,2026-03-27 19:35:25,L010,Cell Tower Approximation,0.42,297
MV00415,P039,2026-03-23 12:35:40,L018,Cell Tower Approximation,0.46,661
MV00416,P040,2025-12-03 09:20:59,L024,Cell Tower Approximation,0.66,843
MV00417,P040,2026-01-12 17:50:53,L018,GPS,0.84,15
MV00418,P040,2025-12-31 10:00:02,L018,Cell Tower Approximation,0.56,338
MV00419,P040,2026-03-06 09:10:23,L024,GPS,0.95,7
MV00420,P040,2026-01-08 11:25:49,L018,Cell Tower Approximation,0.4,701
MV00421,P040,2026-03-08 18:35:59,L024,GPS,0.9,12
MV00422,P040,2025-11-01 17:00:52,L018,GPS,0.88,4
MV00423,P040,2025-11-17 18:00:06,L018,GPS,0.68,11
MV00424,P040,2025-10-10 06:25:59,L018,Cell Tower Approximation,0.51,552
MV00425,P041,2026-03-24 15:05:32,L014,GPS,0.77,9
MV00426,P041,2026-04-15 08:45:44,L019,Cell Tower Approximation,0.37,557
MV00427,P041,2026-04-13 06:20:19,L014,GPS,0.83,9
MV00428,P041,2025-09-11 22:10:04,L014,GPS,0.76,4
MV00429,P041,2026-02-03 16:05:32,L019,Cell Tower Approximation,0.38,430
MV00430,P041,2026-01-17 14:15:15,L014,GPS,0.62,4
MV00431,P041,2026-01-15 13:55:27,L014,GPS,0.7,4
MV00432,P041,2026-02-02 18:00:36,L014,GPS,0.62,14
MV00433,P041,2025-12-19 11:40:12,L019,GPS,0.93,10
MV00434,P042,2026-02-08 07:05:47,L022,Cell Tower Approximation,0.49,286
MV00435,P042,2025-09-23 21:30:45,L001,GPS,0.82,15
MV00436,P042,2025-10-05 12:25:17,L001,GPS,0.85,3
MV00437,P042,2025-12-06 14:40:00,L022,Cell Tower Approximation,0.51,625
MV00438,P042,2026-01-12 20:25:22,L022,GPS,0.79,3
MV00439,P042,2026-04-01 10:50:58,L022,GPS,0.76,7
MV00440,P042,2026-01-06 16:05:41,L001,GPS,0.7,11
MV00441,P042,2025-12-18 20:20:20,L022,Cell Tower Approximation,0.59,658
MV00442,P042,2026-01-18 19:45:38,L001,Cell Tower Approximation,0.58,445
MV00443,P042,2025-12-29 15:40:37,L001,GPS,0.74,7
MV00444,P009,2026-03-14 21:07:00,L011,Cell Tower Approximation,0.55,400
MV00445,P009,2026-03-14 21:44:00,L011,GPS,0.82,9
MV00446,P037,2026-03-14 21:22:00,L011,Cell Tower Approximation,0.5,500
MV00447,P025,2026-03-14 21:37:00,L001,GPS,0.7,12
MV00448,P006,2026-03-14 21:47:00,L013,GPS,0.88,6
